# time, x_vel, y_vel, z_vel, x_pos_tr, y_pos_tr, z_pos_tr, throttle, steering angle
6.155425120145082474e+00, -7.401513099670410156e+00, -7.307022571563720703e+00, 4.028983821626752615e-04, -6.236972808837890625e+00, -1.383019467256963253e+01, -3.506012668367475271e-03, 1.000000000000000000e+00, -3.154655887573107975e+01
6.205425120890140533e+00, -7.170611858367919922e+00, -7.823349475860595703e+00, 4.188411694485694170e-04, -6.596215248107910156e+00, -1.421621819399297237e+01, -3.896408190485090017e-03, 1.000000000000000000e+00, -1.910898834811723646e+01
6.255425121635198593e+00, -7.615635871887207031e+00, -7.776085853576660156e+00, 3.815205709543079138e-04, -6.968213081359863281e+00, -1.460822316072881222e+01, -4.301643406506627798e-03, 1.000000000000000000e+00, -2.544767996472683080e+01
6.305425122380256653e+00, -8.215659141540527344e+00, -7.377901554107666016e+00, 1.880904455902054906e-04, -7.365858078002929688e+00, -1.498800774477422237e+01, -4.594688245560973883e-03, 6.634352803230285645e-01, -4.682940449530360638e+01
6.355425123125314713e+00, -8.793545722961425781e+00, -6.770637512207031250e+00, -4.027648901683278382e-05, -7.786702156066894531e+00, -1.534718438051640987e+01, -4.664116015192121267e-03, 4.253692924976348877e-01, -1.169920048756443975e+01
6.405425123870372772e+00, -9.296453475952148438e+00, -5.978888511657714844e+00, -2.263645437778905034e-04, -8.227526664733886719e+00, -1.567744465731084347e+01, -4.490585473831743002e-03, 5.533414483070373535e-01, 1.540961153491863911e+00
6.455425124615430832e+00, -9.739744186401367188e+00, -5.552051067352294922e+00, -3.862881567329168320e-04, -8.687744140625000000e+00, -1.598358078859746456e+01, -4.329681338276714087e-03, 0.000000000000000000e+00, 1.287956469945868321e+01
6.505425125360488892e+00, -9.747524261474609375e+00, -5.903794288635253906e+00, -2.095636154990643263e-04, -9.160052299499511719e+00, -1.629371472261846066e+01, -4.396018979605287313e-03, 0.000000000000000000e+00, -4.382664918064074300e+01
6.555425126105546951e+00, -9.449152946472167969e+00, -6.432582378387451172e+00, 9.615248563932254910e-05, -9.628234863281250000e+00, -1.662102147005498409e+01, -4.396591277327388525e-03, 0.000000000000000000e+00, -9.800312941040147052e+00
6.605425126850605011e+00, -9.578314781188964844e+00, -6.254347801208496094e+00, 1.794325216906145215e-04, -1.009839630126953125e+01, -1.694782849214971066e+01, -4.285850503947585821e-03, 0.000000000000000000e+00, -1.886131081049097702e+01
6.655425127595663071e+00, -9.771215438842773438e+00, -5.647186756134033203e+00, 5.137540574651211500e-05, -1.057882499694824219e+01, -1.724846669100224972e+01, -4.009857249911874533e-03, 0.000000000000000000e+00, -1.630393550915039214e+01
6.705425128340721130e+00, -9.882679939270019531e+00, -4.882467746734619141e+00, -2.348699053982272744e-04, -1.106366825103759766e+01, -1.751821537874639034e+01, -3.550720808561891317e-03, 5.032362341880798340e-01, -1.027950651664650650e+01
6.755425129085779190e+00, -9.899633407592773438e+00, -4.206975936889648438e+00, -5.437135114334523678e-04, -1.154851722717285156e+01, -1.775642987154424191e+01, -2.990913984831422567e-03, 1.000000000000000000e+00, -2.917019779444956384e+00
6.805425129830837250e+00, -9.805002212524414062e+00, -3.901353120803833008e+00, -6.077325670048594475e-04, -1.202988862991333008e+01, -1.797549839876592159e+01, -2.503663010429590940e-03, 1.000000000000000000e+00, -2.622242015900769729e+01
6.855425130575895309e+00, -9.636188507080078125e+00, -3.984015464782714844e+00, -5.069841281510889530e-04, -1.250606393814086914e+01, -1.818951054476201534e+01, -2.185403078328818083e-03, 1.000000000000000000e+00, -7.303080135333232192e+00
6.905425131320953369e+00, -9.745995521545410156e+00, -3.567097187042236328e+00, -3.651773149613291025e-04, -1.298433113098144531e+01, -1.839048405550420284e+01, -2.034951408859342337e-03, 1.000000000000000000e+00, -8.906501901973683744e+00
6.955425132066011429e+00, -9.923341751098632812e+00, -3.362838745117187500e+00, -3.625265380833297968e-04, -1.347120380401611328e+01, -1.857631321810185909e+01, -2.125550468917936087e-03, 1.000000000000000000e+00, -3.815029324528313737e+01
7.005425132811069489e+00, -1.017761993408203125e+01, -3.064668893814086914e+00, -2.524145820643752813e-04, -1.397006988525390625e+01, -1.874926587007939816e+01, -2.415886789094656706e-03, 1.000000000000000000e+00, -9.207431862565954361e+00
7.055425133556127548e+00, -1.044316864013671875e+01, -2.473559617996215820e+00, -2.154372632503509521e-04, -1.448184537887573242e+01, -1.890178318880498409e+01, -2.742577518802136183e-03, 1.000000000000000000e+00, -4.566353285318371036e+00
7.105425134301185608e+00, -1.072041606903076172e+01, -2.272703409194946289e+00, -2.073895884677767754e-04, -1.500704336166381836e+01, -1.903808041475713253e+01, -3.137360268738120794e-03, 6.888117790222167969e-01, -1.055572784010145426e+00
7.155425135046243668e+00, -1.095772933959960938e+01, -2.362498760223388672e+00, -7.027408719295635819e-05, -1.554593515396118164e+01, -1.917340680025517941e+01, -3.616714791860431433e-03, 0.000000000000000000e+00, -3.687234357454053679e+01
7.205425135791301727e+00, -1.116453933715820312e+01, -2.531092882156372070e+00, 5.017397779738530517e-05, -1.609746384620666504e+01, -1.931111355684697628e+01, -4.079895035829395056e-03, 0.000000000000000000e+00, -1.411158124780433809e+01
7.255425136536359787e+00, -1.140747165679931641e+01, -2.133060216903686523e+00, 8.867692667990922928e-05, -1.666166877746582031e+01, -1.943770237825810909e+01, -4.422645492013543844e-03, 0.000000000000000000e+00, -1.626095639262655368e+01
7.305425137281417847e+00, -1.149870204925537109e+01, -1.456277489662170410e+00, 6.998802746238652617e-06, -1.723252654075622559e+01, -1.953663845919072628e+01, -4.496231151279062033e-03, 0.000000000000000000e+00, -1.103811546063514015e+01
7.355425138026475906e+00, -1.142200279235839844e+01, -7.812367677688598633e-01, -7.950411236379295588e-05, -1.780152237415313721e+01, -1.960662861727178097e+01, -4.283561778720468283e-03, 0.000000000000000000e+00, -2.803320489759903467e+01
7.405425138771533966e+00, -1.128927707672119141e+01, -4.507734179496765137e-01, -7.681519491598010063e-05, -1.836490833759307861e+01, -1.965723057650029659e+01, -3.926887584384530783e-03, 0.000000000000000000e+00, -2.943829833984153765e+00
7.455425139516592026e+00, -1.104495716094970703e+01, 1.947028338909149170e-01, -5.927051461185328662e-05, -1.891888266801834106e+01, -1.968345471285283566e+01, -3.426209033932536840e-03, 2.865643203258514404e-01, 1.313606748609302599e+00
7.505425140261650085e+00, -1.083552742004394531e+01, 2.539372146129608154e-01, -4.826694566872902215e-05, -1.946189926192164421e+01, -1.969213887117803097e+01, -2.919007267337292433e-03, 1.000000000000000000e+00, 2.908759358890364410e+00
7.555425141006708145e+00, -1.062712955474853516e+01, -6.913070380687713623e-02, 1.384885690640658140e-04, -1.999578422307968140e+01, -1.970797177217900753e+01, -2.496796601917594671e-03, 1.000000000000000000e+00, -3.151520594192675162e+01
7.605425141751766205e+00, -1.061627769470214844e+01, -2.721085548400878906e-01, 1.983121183002367616e-04, -2.052677178382873535e+01, -1.972731037996709347e+01, -2.293893077876418829e-03, 1.000000000000000000e+00, -1.940545496438357986e+01
7.655425142496824265e+00, -1.055922508239746094e+01, 2.516691982746124268e-01, 1.313181419391185045e-04, -2.105601251125335693e+01, -1.973074932955205441e+01, -2.240296627860516310e-03, 1.000000000000000000e+00, -2.183788478778978970e+01
7.705425143241882324e+00, -1.037629222869873047e+01, 9.842151999473571777e-01, 6.865310751891229302e-06, -2.157850193977355957e+01, -1.970500393770635128e+01, -2.168275124859064817e-03, 1.000000000000000000e+00, -3.725519191480952941e+01
7.755425143986940384e+00, -1.008223438262939453e+01, 1.755360960960388184e+00, -1.224313746206462383e-04, -2.208815264701843262e+01, -1.964817067049443722e+01, -1.991311262827366590e-03, 1.000000000000000000e+00, -6.610813239911465189e+00
7.805425144731998444e+00, -9.670767784118652344e+00, 2.547581672668457031e+00, -2.211965038441121578e-04, -2.258094453811645508e+01, -1.956033535860478878e+01, -1.717454229947179556e-03, 1.000000000000000000e+00, 4.984606408196100347e+00
7.855425145477056503e+00, -9.506772994995117188e+00, 2.902652502059936523e+00, -2.416398638160899282e-04, -2.306076836585998535e+01, -1.944849034212529659e+01, -1.538163691293448210e-03, 1.000000000000000000e+00, 1.377619831617084856e+01
7.905425146222114563e+00, -9.586590766906738281e+00, 2.418970108032226562e+00, 4.124907354707829654e-05, -2.354314184188842773e+01, -1.934213848970830441e+01, -1.620065129827708006e-03, 1.000000000000000000e+00, -1.839644291167178380e+01
7.955425146967172623e+00, -9.582345008850097656e+00, 1.732141017913818359e+00, 2.847196883521974087e-04, -2.402513456344604492e+01, -1.925603123567998409e+01, -1.661759743001312017e-03, 1.000000000000000000e+00, -1.143022636169268935e+01
8.005425147712230682e+00, -9.512468338012695312e+00, 1.867855787277221680e+00, 2.521094575058668852e-04, -2.450352478027343750e+01, -1.917281742952764034e+01, -1.732178905513137579e-03, 1.000000000000000000e+00, -2.188845962139271251e+01
8.055425148457288742e+00, -9.267347335815429688e+00, 2.490579366683959961e+00, 1.088151693693362176e-04, -2.497244167327880859e+01, -1.906367894075810909e+01, -1.821938843932002783e-03, 1.000000000000000000e+00, -1.777927264507570726e+01
8.105425149202346802e+00, -8.690085411071777344e+00, 3.029030323028564453e+00, -2.238853994640521705e-05, -2.541900110244750977e+01, -1.893285962007939816e+01, -1.620408322196453810e-03, 1.000000000000000000e+00, -5.685797071642446099e+01
8.155425149947404861e+00, -8.293540954589843750e+00, 3.505217790603637695e+00, -1.202764251502230763e-04, -2.584396266937255859e+01, -1.878265782259404659e+01, -1.345902855973690748e-03, 1.000000000000000000e+00, -5.322844252991558278e+00
8.205425150692462921e+00, -7.869274616241455078e+00, 4.107004642486572266e+00, -1.639092806726694107e-04, -2.625166749954223633e+01, -1.861079808138310909e+01, -1.166116388048976660e-03, 1.000000000000000000e+00, 4.005247327752016417e+00
8.255425151437520981e+00, -7.892074584960937500e+00, 4.245268344879150391e+00, -1.454301673220470548e-04, -2.665219116210937500e+01, -1.842280789278447628e+01, -1.259843294974416494e-03, 1.000000000000000000e+00, 9.733059239530803097e+00
8.305425152182579041e+00, -8.200735092163085938e+00, 3.746289014816284180e+00, 1.029033737722784281e-04, -2.706433010101318359e+01, -1.824452420137822628e+01, -1.620294002350419760e-03, 1.000000000000000000e+00, 8.483442391450282116e-01
8.355425152927637100e+00, -8.476752281188964844e+00, 3.209303617477416992e+00, 2.310367854079231620e-04, -2.748680973052978516e+01, -1.808238430880010128e+01, -1.986390387173742056e-03, 1.000000000000000000e+00, -1.355997906354707538e+01
8.405425153672695160e+00, -8.622523307800292969e+00, 3.365058422088623047e+00, 1.723192981444299221e-04, -2.791633987426757812e+01, -1.791818257234990597e+01, -2.447930339258164167e-03, 1.000000000000000000e+00, -2.186237424749629099e+01
8.455425154417753220e+00, -8.486043930053710938e+00, 3.963932752609252930e+00, 9.003092418424785137e-05, -2.834479522705078125e+01, -1.773255558870732784e+01, -2.905999019276350737e-03, 1.000000000000000000e+00, -1.920352279454368727e+01
8.505425155162811279e+00, -8.180548667907714844e+00, 4.641995906829833984e+00, -5.091771981824422255e-06, -2.876370334625244141e+01, -1.752099629305303097e+01, -3.200493229087442160e-03, 1.000000000000000000e+00, -4.277802299125914942e+01
8.555425155907869339e+00, -7.910615444183349609e+00, 5.250627994537353516e+00, -1.065458054654300213e-04, -2.917118740081787109e+01, -1.728486843965947628e+01, -3.375015628989785910e-03, 1.000000000000000000e+00, -2.248861358332391092e+00
8.605425156652927399e+00, -7.491395473480224609e+00, 5.900286197662353516e+00, -1.729486102703958750e-04, -2.956540966033935547e+01, -1.702391453646123409e+01, -3.451996424701064825e-03, 1.000000000000000000e+00, 9.069786871388259897e+00
8.655425157397985458e+00, -7.544157505035400391e+00, 6.194926738739013672e+00, -1.829986576922237873e-04, -2.995352745056152344e+01, -1.674216290377080441e+01, -3.612137341406196356e-03, 1.000000000000000000e+00, 1.686207259693696869e+01
8.705425158143043518e+00, -8.012700080871582031e+00, 5.844738006591796875e+00, 5.032654371461831033e-05, -3.035850429534912109e+01, -1.646216603182256222e+01, -3.913879801984876394e-03, 1.000000000000000000e+00, -1.491864339829635355e+01
